chembl_id,name,smiles,first_approval
CHEMBL498,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1958.0
CHEMBL499,Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,1978.0
CHEMBL500,Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,1982.0
CHEMBL276832,Hydralazine,NNc1nncc2ccccc12,1953.0
CHEMBL501,Amphetamine Sulfate,CC(N)Cc1ccccc1.O=S(=O)(O)O,1960.0
CHEMBL267345,Amphotericin B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,1964.0
CHEMBL90,Histamine,NCCc1c[nH]cn1,1939.0
CHEMBL91,Miconazole,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,1974.0
CHEMBL92,Docetaxel Anhydrous,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,1995.0
CHEMBL93,Zileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,1996.0
CHEMBL94,Physostigmine,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,
CHEMBL95,Tacrine,Nc1c2c(nc3ccccc13)CCCC2,1993.0
CHEMBL502,Donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1996.0
CHEMBL503,Lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,1987.0
CHEMBL11662,Ozagrel,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,1988.0
CHEMBL12610,Benzydamine,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,
CHEMBL269644,Acetanilide,CC(=O)Nc1ccccc1,
CHEMBL504,Dimethyl Sulfoxide,C[S+](C)[O-],1978.0
CHEMBL505,Chlorpheniramine,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1950.0
CHEMBL506,Primaquine,COc1cc(NC(C)CCCN)c2ncccc2c1,1952.0
CHEMBL509,Meclofenamic Acid,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1980.0
CHEMBL511,Pyrilamine,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1973.0
CHEMBL12713,Sertindole,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1996.0
CHEMBL513,Carmustine,O=NN(CCCl)C(=O)NCCCl,1977.0
CHEMBL514,Lomustine,O=NN(CCCl)C(=O)NC1CCCCC1,1976.0
CHEMBL515,Chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1957.0
CHEMBL516,Cyproheptadine,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,1961.0
CHEMBL12856,Inamrinone,Nc1cc(-c2ccncc2)c[nH]c1=O,1984.0
CHEMBL517,Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,1977.0
CHEMBL98,Vorinostat,O=C(CCCCCCC(=O)Nc1ccccc1)NO,2006.0
CHEMBL521,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,1974.0
CHEMBL13376,Clometacin,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,
CHEMBL13280,Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,
CHEMBL13209,Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,
CHEMBL524,Methoxamine,COc1ccc(OC)c(C(O)C(C)N)c1,1982.0
CHEMBL526,Propofol,CC(C)c1cccc(C(C)C)c1O,1989.0
CHEMBL527,Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,1982.0
CHEMBL528,Ceftizoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,1983.0
CHEMBL101,Phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1980.0
CHEMBL529,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1991.0
CHEMBL530,Amdinocillin,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,1984.0
CHEMBL531,Pergolide,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1988.0
CHEMBL532,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1964.0
CHEMBL533,Ibutilide,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,1995.0
CHEMBL103,Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1976.0
CHEMBL534,Ketotifen,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,1999.0
CHEMBL535,Sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,2006.0
CHEMBL537,Hydroquinone,Oc1ccc(O)cc1,2002.0
CHEMBL539,Acetic Acid,CC(=O)O,1982.0
CHEMBL14060,Phenol,Oc1ccccc1,
CHEMBL544,Mequinol,COc1ccc(O)cc1,1999.0
CHEMBL104,Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1975.0
CHEMBL105,Mitomycin,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,1981.0
CHEMBL545,Alcohol,CCO,1982.0
CHEMBL546,Oxprenolol,C=CCOc1ccccc1OCC(O)CNC(C)C,1983.0
CHEMBL106,Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,1990.0
CHEMBL547,Isotretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,1982.0
CHEMBL14376,Iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,2009.0
CHEMBL548,Dinoprostone,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,1977.0
CHEMBL278020,Neostigmine,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,2013.0
CHEMBL14370,Reboxetine,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,1997.0
CHEMBL549,Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1998.0
CHEMBL550,Pilocarpine,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,1974.0
CHEMBL107,Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1961.0
CHEMBL553,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,2004.0
CHEMBL554,Lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,2007.0
